FlightNr	From	Till	DaysOfWeek	DepStation	DepTime	ArrStation	ArrTime	Fleet
SN 5129 	1-sep-2008	4-sep-2008	12_4___	BRU	07:45	Dest14	09:00	AR8
SN 5129 	3-sep-2008	10-sep-2008	__3_5__	BRU	07:45	Dest14	09:00	AR1
SN 5129 	8-sep-2008	25-sep-2008	12_45__	BRU	07:45	Dest14	09:00	AR8
SN 5222 	1-sep-2008	3-sep-2008	123____	Dest34	17:20	BRU	18:20	734
SN 5222 	4-sep-2008	4-sep-2008	___4___	Dest34	17:20	BRU	18:20	AR8
SN 5222 	5-sep-2008	19-sep-2008	_2__5_7	Dest34	17:20	BRU	18:20	733
SN 5260 	20-sep-2008	27-sep-2008	_____6_	Dest27	16:20	BRU	17:40	146
SN 5260 	22-sep-2008	30-sep-2008	12345_7	Dest27	16:20	BRU	17:40	AR8
SN 5273 	1-sep-2008	5-sep-2008	12345__	BRU	18:20	Dest27	19:45	32S
